Participant ID,Dialect index (0–6),Dialect index (0-10),Nordavinden og sola (Oslo / South-East features),Nord. e - aei (diphthongisation),F,tjukk /l/,høgtone,Nord. score,Picture descrip. (Oslo / South-East features),Pic. score,Fritid (Oslo / South-East features),Fritid score,Frokost (Oslo / South-East features),Frokost score,Daglige rutine (Oslo / South-East features),Daglige rutine score,Bart (re),Barn (re),har du (re),stor skog (re),garde (re),Morder (re),ikke (p),kveld (p),fjell (p),hva (hv),hvordan (hv),banan (EN-accent),Holmenkollen (d),for alle (d),Oslo (/sh/-/s/),Tromsø (d),"Morsmålsdagen (d, p)","takk (d, p)",mann (d),,AF / 2,wordlist / 6,gjenta / jenta,løpe / løpet,rote / rotet,kaste / kastet,tegne / tegnet,skjære / kjære,hat / hatt,tak / takk,flyte / flytte,bøter / bøtter,føl / føll,supe / suppe,slippe / slippet,stoppe / stoppet,tone 2 dialect  score,Jak się nazywasz?,Ile masz lat?,Kim jesteś?,On nie lubi jeździć na nartach.,Jakie jest twoje ulubione święto?,Gdzie mieszkasz?,Kto jest twoim ulubionym aktorem?,Ona nie mieszka w Tromsø.,Jaki jest twój ulubiony kolor?,Gdzie spędzisz święta Bożego Narodzenia?,Kto jest twoim ulubionym piosenkarzem?,Nie obchodzę świąt Bożego Narodzenia.,Jakie jest twoje ulubione jedzenie?,Gdzie lubisz wyjeżdżać na wakacje?,Kto jest twoim najlepszym przyjacielem?,Nie lubię cebuli.,To jest moja koszula.,Kupiłem/am półkę na książki.,Ona ma moją książkę.,Przeczytałem/am gazetę.,On zna moją żonę. ,Widziałem/am kobietę.,On kocha moją córkę.,Znalazłem/am mysz. ,Mieszkam w Oslo,Mieszkam w Tromso,Mówię po norwesku,Mówię po norwesku,Jemy banana,Mamy auto,Jesteśmy szczęśliwi,Ta góra (Bærj / Berg),Te książki,Ładne wzgórze (Hævv / Haug),Tamte klify (Kløppe / Klippe),Idę na ślub (Brølløp / Bryllup),translation / 12,translation / 10,,Vowels,,,,,,,for alle (d)
MS5129NN,4,6.8,"retrofleks, tjukk /l/",0,0,1,0,2,"F, retrofleks, tjukk l, høgtone",4,"høgtone, tjukk l, retrofleks",3,"retrofleks, initial stress-appelsin,høgtone",3,"retrofleks, høgtone, tjukk l",3,1,1,1,0,1,0,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,8,4,4.4,different t.,slightly different t.,different t.,same t.,same t.,same t.,same t.,same t.,slightly different t.,different t.,same t.,different t.,same t.,same t.,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,COM,COM,COM,COM,F,COM,COM ,NA,1,1,1,1,1,1,0,0,1,0,0,1,8,8.56,,,,,,,,,1
MW7015AR,1,1.7,traces of høgtone,0,0,0,,1,traces of høgtone,1,traces of høgtone,1,traces of høgtone,1,traces of høgtone,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,7,3.5,3.8,same t.,same t.,same t.,slightly different t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,0.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,F,COM,COM,COM,F,NA,1,1,1,1,1,1,0,0,0,0,0,0,6,6.42,,,,,,,,,
MZ5021NE,3.5,,"kjeklet, tones, F, tjukk l, traces of retroflex",,,,,4,"lav og høgtone, tjukk l, mista in pret, retrofleks",4,"retrofleks, tjukk l, lav and høgtone, ",4,"traces of retroflex, lav and høgtone",4,"retrofleks, tjukk l, tones",3,1,1,1,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,4,2,2.2,slightly d,slightly d,slightly d,slightly d,slightly d,different ,same t,same ,sligthly d,same,same,slightly d,slightly d,slightly d,,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,F,F,F,F,F,NA,F,COM,1,1,1,1,NA,1,1,NA,1,NA,NA,1,,,,,,,,,,,
MZ6724AG,3.5,5.95,"traces of høgtone, ",0,0,0,,1,"æi, traces of høgtone",2,"retrofleks, høgtone, tjukk l",3,"retrofleks, høgtone, tjukk l",3,"retrofleks, høgtone, tjukk l",3,1,1,1,0,1,0,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,8,4,4.4,same t.,slightly different t.,same t.,same t.,same t.,slightly different t.,same t.,same t.,same t.,same t.,same t.,same t.,slightly different t.,same t.,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,COM,COM,F,COM,COM,COM,1,1,1,1,1,1,1,0,1,0,0,0,8,8.56,,,,,,,,,
RB6114OR,4.1,,"kjeklet, F, tones, retroflex, tjukk l",,,,,4,"lav and høgtone, tjukk l, F, retroflex, past tense på -a, de instead of dem",6,"retrofleks, tjukk l, lav and høgtone, ",4,"retroflex, lav and høgtone, tjukk l, ",4,"retroflex, tjukk l, lav and høgtone, F",4,1,1,1,0,0,0,NA,NA,NA,NA,NA,1,1,0,0,NA,0,NA,NA,5,2.5,2.7,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,COM,F,COM,NA,F,COM,F,COM,1,1,1,1,0,1,NA,NA,NA,NA,NA,1,,,,,,,,,,,
TR6620AN,3,5.1,"høgtone, traces of retrofleks, tjukk l, F",0,1,1,1,4,"høgtone, tjukk l, retrofleks, ",3,"høgtone, retrofleks, tjukk l",3,"høgtone, retrofleks, tjukk l",3,"høgtone, retrofleks, ",2,1,1,1,0,0,0,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,7,3.5,3.8,slightly different t.,slightly different t.,slightly different t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,same t.,slightly different t.,different t.,same t.,3,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,COM,COM,COM,F,F,COM,COM,COM,1,1,1,1,1,1,0,0,1,0,0,0,7,7.49,,,,,,,,,
WB5810GA,3,5.1,"retrofleks, høgtone",0,0,0,1,3,"høgtone, ",1,"retrofleks, høgtone, tjukk l, F",4,"retrofleks, høgtone, tjukk l",3,"retrofleks, høgtone, tjukk l",3,1,1,1,0,1,0,NA,NA,NA,NA,NA,1,1,0,1,NA,1,NA,NA,8,4,4.4,different t.,same t.,slightly different t.,same t.,same t.,same t.,same t.,same t.,slightly different t.,slightly different t.,same t.,same t.,same t.,same t.,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,COM,COM,COM,COM,F,COM,COM,COM,1,1,1,1,1,1,1,0,1,0,0,0,8,8.56,,,,,,,,,
ZS6219NN,2.4,,"kjeklet, traces of retroflex, F",,,,,2,"F, lav and høgtone",2,traces of lav og høgtone,1,"traces of retroflex, lav and høgtone",2,"retroflex, tones, ",2,1,1,1,0,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,10,5,5.5,slightly d,slightly d,slightly d,slightly d,slightly d,same t,same t,same ,sligthly d,slighly d,same,same,slightly d,slightly d,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,COM,F,COM,COM,F,COM,F,NA,1,1,1,1,1,1,1,NA,1,NA,NA,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,2.841856061,4.25,0,,,,,2.3,#DIV/0!,3.1,#DIV/0!,2.7,0,2.1,0,2.5,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,2.428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.725714286,,,,,,,,,
median,3,,,,,,,1,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,0,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,4.984848485,,hightone?,,,,,5,,6,,7,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sd,1.832073879,,,,,,,1.868397466,,2.136266922,,2.161649202,,,,,,,,,,,,,,,,,,,,,,,,,,1.826921145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hierarchy of features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cecha na styl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,z scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
